"","PA","Age","yr2_PA","yr2_Age","change_wRC_CON","change_zscore","change_zscore_everyday","PA_ave","age_cohort"
"273",369,23,361,24,0.00600000000000001,0.147113635777852,0.869862732114537,365,"23-24"
"274",669,23,569,24,0,-0.142904531257085,-0.604460083372818,619,"23-24"
"275",463,23,556,24,0.022,0.156750070333793,0.898091792936322,509.5,"23-24"
"276",323,23,250,24,-0.036,-0.352432701549444,-1.41718313786337,286.5,"23-24"
"277",612,23,575,24,0.035,0.325589979940281,1.37437188859894,593.5,"23-24"
"278",426,23,475,24,0.017,0.192783868939867,0.642640031023333,450.5,"23-24"
"279",340,23,482,24,0.034,0.500181481278033,1.9621900701182,411,"23-24"
"280",515,23,449,24,-0.00499999999999998,-0.11684736816383,-0.573634199410942,482,"23-24"
"281",568,23,382,24,-0.002,0.146234250362459,0.191529200038512,475,"23-24"
"282",522,23,395,24,-0.011,-0.187600707680768,-0.723466405455066,458.5,"23-24"
"283",640,23,745,24,-0.022,-0.238251287972572,-0.827281916468424,692.5,"23-24"
"284",591,23,567,24,-0.035,-0.433895343528956,-1.5532464676536,579,"23-24"
"285",549,23,402,24,0.016,0.187101493823866,0.761928460483565,475.5,"23-24"
"286",599,23,681,24,-0.00599999999999998,-0.0745811409500743,-0.306946605770605,640,"23-24"
"287",595,23,564,24,-0.017,-0.183926905209293,-0.492393992200497,579.5,"23-24"
"288",655,23,620,24,-0.016,-0.195205402941544,-0.579063840087974,637.5,"23-24"
"289",626,23,647,24,0.051,0.775525004728257,3.12459204803616,636.5,"23-24"
